comp_id,name,bedrooms,bathrooms,amenities,notes,source_url,airbnb_room_id,platform,for_properties,as_of,stay_date,listed_price,available,source
comp_lakota_reserve,Lakota Reserve,6,6.5,hot tub|ski views|EV charger|luxury linens|game room,Sleeps 18; WPLC Lakota; shoulder Tue Dec 2026,https://www.winterparklodgingcompany.com/rentals/lakota-reserve,,direct,cloud_9,2026-09-01,2026-12-02,925,1,operator_entry_wplc
comp_lakota_reserve,Lakota Reserve,6,6.5,hot tub|ski views|EV charger|luxury linens|game room,Sleeps 18; WPLC Lakota; shoulder Fri Dec 2026,https://www.winterparklodgingcompany.com/rentals/lakota-reserve,,direct,cloud_9,2026-09-01,2026-12-05,950,1,operator_entry_wplc
comp_lakota_reserve,Lakota Reserve,6,6.5,hot tub|ski views|EV charger|luxury linens|game room,Sleeps 18; WPLC Lakota; mid Tue Dec 2026,https://www.winterparklodgingcompany.com/rentals/lakota-reserve,,direct,cloud_9,2026-09-01,2026-12-16,1025,1,operator_entry_wplc
comp_lakota_reserve,Lakota Reserve,6,6.5,hot tub|ski views|EV charger|luxury linens|game room,Sleeps 18; WPLC Lakota; mid Fri Dec 2026,https://www.winterparklodgingcompany.com/rentals/lakota-reserve,,direct,cloud_9,2026-09-01,2026-12-19,1075,1,operator_entry_wplc
comp_lakota_reserve,Lakota Reserve,6,6.5,hot tub|ski views|EV charger|luxury linens|game room,Sleeps 18; WPLC Lakota; peak Tue Dec 2026,https://www.winterparklodgingcompany.com/rentals/lakota-reserve,,direct,cloud_9,2026-09-01,2026-12-23,1550,1,operator_entry_wplc
comp_lakota_reserve,Lakota Reserve,6,6.5,hot tub|ski views|EV charger|luxury linens|game room,Sleeps 18; WPLC Lakota; peak Fri Dec 2026,https://www.winterparklodgingcompany.com/rentals/lakota-reserve,,direct,cloud_9,2026-09-01,2026-12-26,1650,1,operator_entry_wplc
comp_lakota_reserve,Lakota Reserve,6,6.5,hot tub|ski views|EV charger|luxury linens|game room,Sleeps 18; WPLC Lakota; Presidents Fri Feb 2026,https://www.winterparklodgingcompany.com/rentals/lakota-reserve,,direct,cloud_9,2026-09-01,2026-02-13,1100,1,operator_entry_wplc
comp_lakota_reserve,Lakota Reserve,6,6.5,hot tub|ski views|EV charger|luxury linens|game room,Sleeps 18; WPLC Lakota; Presidents Tue Feb 2026,https://www.winterparklodgingcompany.com/rentals/lakota-reserve,,direct,cloud_9,2026-09-01,2026-02-17,1050,1,operator_entry_wplc
comp_deer,Deer,7,5.5,hot tub|shuttle route|3 king suites|game room,Sleeps 16; WPH value floor; shoulder Tue Dec 2026,https://winterparkhouse.com/our-homes/deer/,,direct,cloud_9,2026-09-01,2026-12-02,725,1,operator_entry_wph
comp_deer,Deer,7,5.5,hot tub|shuttle route|3 king suites|game room,Sleeps 16; WPH value floor; shoulder Fri Dec 2026,https://winterparkhouse.com/our-homes/deer/,,direct,cloud_9,2026-09-01,2026-12-05,750,1,operator_entry_wph
