signal_date,region,event_name,signal_strength,source
2023-11-24,winter_park,Ski season opener window,0.55,calendar
2023-12-01,winter_park,Ski season opener window,0.55,calendar
2023-12-05,winter_park,Ski season opener window,0.55,calendar
2023-12-10,winter_park,Ski season opener window,0.55,calendar
2023-12-20,winter_park,Christmas / New Year holiday peak,0.95,calendar
2023-12-21,winter_park,Christmas / New Year holiday peak,0.95,calendar
2023-12-22,winter_park,Christmas / New Year holiday peak,0.95,calendar
2023-12-23,winter_park,Christmas / New Year holiday peak,0.95,calendar
2023-12-24,winter_park,Christmas / New Year holiday peak,0.95,calendar
2023-12-25,winter_park,Christmas / New Year holiday peak,0.95,calendar
2023-12-26,winter_park,Christmas / New Year holiday peak,0.95,calendar
2023-12-27,winter_park,Christmas / New Year holiday peak,0.95,calendar
2023-12-28,winter_park,Christmas / New Year holiday peak,0.95,calendar
2023-12-29,winter_park,Christmas / New Year holiday peak,0.95,calendar
2023-12-30,winter_park,Christmas / New Year holiday peak,0.95,calendar
2023-12-31,winter_park,Christmas / New Year holiday peak,0.95,calendar
2024-01-01,winter_park,Christmas / New Year holiday peak,0.95,calendar
2024-01-02,winter_park,Christmas / New Year holiday peak,0.95,calendar
2024-01-03,winter_park,Christmas / New Year holiday peak,0.95,calendar
