as_of,stay_date,window_nights,region,listings,p25,p50,p75,p90,run_id
2026-09-01,2023-12-01,2,winter_park,7,750.0,875.0,965.0,1028.0,dec2023_manual
2026-09-01,2023-12-05,2,winter_park,7,750.0,875.0,965.0,1028.0,dec2023_manual
2026-09-01,2023-12-08,2,winter_park,7,825.0,950.0,1050.0,1110.0,dec2023_manual
2026-09-01,2023-12-12,2,winter_park,7,825.0,950.0,1050.0,1110.0,dec2023_manual
2026-09-01,2023-12-15,2,winter_park,7,825.0,950.0,1050.0,1110.0,dec2023_manual
2026-09-01,2023-12-19,2,winter_park,7,825.0,950.0,1050.0,1110.0,dec2023_manual
2026-09-01,2023-12-22,2,winter_park,7,1275.0,1380.0,1500.0,1630.0,dec2023_manual
2026-09-01,2023-12-26,2,winter_park,7,1275.0,1380.0,1500.0,1630.0,dec2023_manual
2026-09-01,2023-12-29,2,winter_park,7,1275.0,1380.0,1500.0,1630.0,dec2023_manual
2026-09-01,2023-12-01,2,summit,6,680.0,820.0,920.0,1050.0,dec2023_manual
2026-09-01,2023-12-08,2,summit,6,720.0,850.0,950.0,1080.0,dec2023_manual
2026-09-01,2023-12-15,2,summit,6,750.0,880.0,980.0,1120.0,dec2023_manual
2026-09-01,2023-12-22,2,summit,6,900.0,1050.0,1180.0,1320.0,dec2023_manual
2026-09-01,2023-12-29,2,summit,6,950.0,1100.0,1250.0,1400.0,dec2023_manual
2026-09-01,2023-12-01,2,clear_creek_eagle,5,750.0,900.0,1020.0,1150.0,dec2023_manual
2026-09-01,2023-12-08,2,clear_creek_eagle,5,780.0,930.0,1050.0,1180.0,dec2023_manual
2026-09-01,2023-12-15,2,clear_creek_eagle,5,820.0,970.0,1100.0,1240.0,dec2023_manual
2026-09-01,2023-12-22,2,clear_creek_eagle,5,980.0,1150.0,1300.0,1450.0,dec2023_manual
2026-09-01,2023-12-29,2,clear_creek_eagle,5,1020.0,1200.0,1350.0,1500.0,dec2023_manual
