property_id,stay_date,listed_price,booked_price,status,lead_time_days,channel,reservation_id
cloud_9,2023-06-01,520,520,booked,83,airbnb,cloud_9-2023-06-01
cloud_9,2023-06-02,595,,available,55,,
cloud_9,2023-06-03,595,,available,38,,
cloud_9,2023-06-04,520,520,booked,69,airbnb,cloud_9-2023-06-04
cloud_9,2023-06-05,520,520,booked,89,airbnb,cloud_9-2023-06-05
cloud_9,2023-06-06,520,,available,45,,
cloud_9,2023-06-07,520,,available,24,,
cloud_9,2023-06-08,520,470,booked,41,airbnb,cloud_9-2023-06-08
cloud_9,2023-06-09,595,,available,87,,
cloud_9,2023-06-10,595,,available,20,,
cloud_9,2023-06-11,520,,available,30,,
cloud_9,2023-06-12,520,,available,58,,
cloud_9,2023-06-13,520,,available,33,,
cloud_9,2023-06-14,520,,available,84,,
cloud_9,2023-06-15,520,495,booked,45,airbnb,cloud_9-2023-06-15
cloud_9,2023-06-16,595,595,booked,44,airbnb,cloud_9-2023-06-16
cloud_9,2023-06-17,595,,available,88,,
cloud_9,2023-06-18,520,,available,64,,
cloud_9,2023-06-19,520,495,booked,68,airbnb,cloud_9-2023-06-19
cloud_9,2023-06-20,520,,available,20,,
cloud_9,2023-06-21,520,495,booked,59,airbnb,cloud_9-2023-06-21
cloud_9,2023-06-22,520,,available,74,,
cloud_9,2023-06-23,595,,available,75,,
cloud_9,2023-06-24,595,,available,37,,
cloud_9,2023-06-25,520,,available,32,,
cloud_9,2023-06-26,520,,available,43,,
cloud_9,2023-06-27,520,,available,74,,
cloud_9,2023-06-28,520,,available,28,,
cloud_9,2023-06-29,520,495,booked,14,airbnb,cloud_9-2023-06-29
cloud_9,2023-06-30,595,,available,33,,
cloud_9,2023-07-01,595,595,booked,66,airbnb,cloud_9-2023-07-01
cloud_9,2023-07-02,520,,available,67,,
cloud_9,2023-07-03,520,,available,84,,
cloud_9,2023-07-04,520,,available,37,,
cloud_9,2023-07-05,520,,available,42,,
cloud_9,2023-07-06,520,,available,69,,
cloud_9,2023-07-07,595,,available,73,,
cloud_9,2023-07-08,595,,available,24,,
cloud_9,2023-07-09,520,545,booked,80,airbnb,cloud_9-2023-07-09
cloud_9,2023-07-10,520,520,booked,54,airbnb,cloud_9-2023-07-10
cloud_9,2023-07-11,520,520,booked,82,airbnb,cloud_9-2023-07-11
cloud_9,2023-07-12,520,,available,56,,
cloud_9,2023-07-13,520,,available,37,,
cloud_9,2023-07-14,595,595,booked,66,airbnb,cloud_9-2023-07-14
cloud_9,2023-07-15,595,595,booked,29,airbnb,cloud_9-2023-07-15
cloud_9,2023-07-16,520,520,booked,82,airbnb,cloud_9-2023-07-16
cloud_9,2023-07-17,520,495,booked,54,airbnb,cloud_9-2023-07-17
cloud_9,2023-07-18,520,,available,57,,
cloud_9,2023-07-19,520,520,booked,37,airbnb,cloud_9-2023-07-19
cloud_9,2023-07-20,520,,available,36,,
cloud_9,2023-07-21,595,595,booked,73,airbnb,cloud_9-2023-07-21
cloud_9,2023-07-22,595,,available,44,,
cloud_9,2023-07-23,520,,available,60,,
cloud_9,2023-07-24,520,545,booked,67,airbnb,cloud_9-2023-07-24
cloud_9,2023-07-25,520,545,booked,51,airbnb,cloud_9-2023-07-25
cloud_9,2023-07-26,520,,available,89,,
cloud_9,2023-07-27,520,,available,39,,
cloud_9,2023-07-28,595,,available,50,,
cloud_9,2023-07-29,595,595,booked,45,airbnb,cloud_9-2023-07-29
