signal_date,region,event_name,signal_strength,source
2026-12-20,winter_park,Christmas / New Year holiday peak,0.95,calendar
2026-12-21,winter_park,Christmas / New Year holiday peak,0.95,calendar
2026-12-22,winter_park,Christmas / New Year holiday peak,0.95,calendar
2026-12-23,winter_park,Christmas / New Year holiday peak,0.95,calendar
2026-12-24,winter_park,Christmas / New Year holiday peak,0.95,calendar
2026-12-25,winter_park,Christmas / New Year holiday peak,0.95,calendar
2026-12-26,winter_park,Christmas / New Year holiday peak,0.95,calendar
2026-12-27,winter_park,Christmas / New Year holiday peak,0.95,calendar
2026-12-28,winter_park,Christmas / New Year holiday peak,0.95,calendar
2026-12-29,winter_park,Christmas / New Year holiday peak,0.95,calendar
2026-12-30,winter_park,Christmas / New Year holiday peak,0.95,calendar
2026-12-31,winter_park,Christmas / New Year holiday peak,0.95,calendar
2027-01-01,winter_park,Christmas / New Year holiday peak,0.95,calendar
2027-01-02,winter_park,Christmas / New Year holiday peak,0.95,calendar
2027-01-03,winter_park,Christmas / New Year holiday peak,0.95,calendar
2027-01-04,winter_park,Christmas / New Year holiday peak,0.95,calendar
2026-03-07,winter_park,Spring Break peak,0.85,calendar
2026-03-08,winter_park,Spring Break peak,0.85,calendar
2026-03-09,winter_park,Spring Break peak,0.85,calendar
2026-03-10,winter_park,Spring Break peak,0.85,calendar
2026-03-11,winter_park,Spring Break peak,0.85,calendar
2026-03-12,winter_park,Spring Break peak,0.85,calendar
2026-03-13,winter_park,Spring Break peak,0.85,calendar
2026-03-14,winter_park,Spring Break peak,0.85,calendar
2026-03-15,winter_park,Spring Break peak,0.85,calendar
2026-03-16,winter_park,Spring Break peak,0.85,calendar
2026-03-17,winter_park,Spring Break peak,0.85,calendar
2026-03-18,winter_park,Spring Break peak,0.85,calendar
2026-03-19,winter_park,Spring Break peak,0.85,calendar
2026-03-20,winter_park,Spring Break peak,0.85,calendar
2026-03-21,winter_park,Spring Break peak,0.85,calendar
2026-03-22,winter_park,Spring Break peak,0.85,calendar
