property_id,stay_date,listed_price,booked_price,status,lead_time_days,channel,reservation_id
cabin_ridge,2025-12-15,1040,1040,booked,45,airbnb,cabin_ridge-2025-12-15
cabin_ridge,2025-12-16,1040,1040,booked,45,airbnb,cabin_ridge-2025-12-16
cabin_ridge,2025-12-17,1040,1040,booked,45,airbnb,cabin_ridge-2025-12-17
cabin_ridge,2025-12-18,1040,1040,booked,45,airbnb,cabin_ridge-2025-12-18
cabin_ridge,2025-12-19,855,,available,20,airbnb,
cabin_ridge,2025-12-20,1145,1145,booked,30,airbnb,cabin_ridge-2025-12-20
cabin_ridge,2025-12-21,,,blocked,,owner,owner
cabin_ridge,2025-12-22,1040,1040,booked,45,airbnb,cabin_ridge-2025-12-22
cabin_ridge,2025-12-23,1040,1040,booked,45,airbnb,cabin_ridge-2025-12-23
cabin_ridge,2025-12-24,1040,1040,booked,45,airbnb,cabin_ridge-2025-12-24
cabin_ridge,2025-12-25,1040,1040,booked,45,airbnb,cabin_ridge-2025-12-25
cabin_ridge,2025-12-26,855,,available,20,airbnb,
cabin_ridge,2025-12-27,1145,1145,booked,30,airbnb,cabin_ridge-2025-12-27
cabin_ridge,2025-12-28,470,,available,10,airbnb,
cabin_ridge,2025-12-29,1040,1040,booked,45,airbnb,cabin_ridge-2025-12-29
cabin_ridge,2025-12-30,1040,1040,booked,45,airbnb,cabin_ridge-2025-12-30
cabin_ridge,2025-12-31,1040,1040,booked,45,airbnb,cabin_ridge-2025-12-31
cabin_ridge,2026-01-01,1040,1040,booked,45,airbnb,cabin_ridge-2026-01-01
cabin_ridge,2026-01-02,855,,available,20,airbnb,
cabin_ridge,2026-01-03,1145,1145,booked,30,airbnb,cabin_ridge-2026-01-03
cabin_ridge,2026-01-04,470,,available,10,airbnb,
cabin_ridge,2026-01-05,1040,1040,booked,45,airbnb,cabin_ridge-2026-01-05
cabin_ridge,2026-01-06,1040,1040,booked,45,airbnb,cabin_ridge-2026-01-06
cabin_ridge,2026-01-07,1040,1040,booked,45,airbnb,cabin_ridge-2026-01-07
cabin_ridge,2026-01-08,1040,1040,booked,45,airbnb,cabin_ridge-2026-01-08
cabin_ridge,2026-01-09,855,,available,20,airbnb,
cabin_ridge,2026-01-10,1145,1145,booked,30,airbnb,cabin_ridge-2026-01-10
cabin_ridge,2026-01-11,,,blocked,,owner,owner
